Time,Amount,Price,Side,ID
1545696232994,0.0010,445215,0,27736195
1545696233030,0.0332,445165,0,27736196
1545696233166,0.0595,445165,0,27736197
1545696233207,0.0100,445161,0,27736198
1545696233238,0.0100,445144,0,27736199
1545696233267,0.0099,445077,0,27736200
1545696233296,0.1620,445034,0,27736201
1545696233319,0.0100,445000,0,27736202
1545696233345,0.0002,445000,0,27736203
1545696233388,0.0010,444990,0,27736204
1545696233452,0.0500,444934,0,27736205
1545696233976,0.0080,445175,0,27736206
1545696234029,0.0020,444928,0,27736207
1545696234247,0.0200,445149,0,27736208
1545696234939,0.0200,445149,0,27736209
1545696236962,0.0100,445281,1,27736210
1545696237993,0.0080,445284,0,27736211
1545696239019,0.0010,444992,0,27736212
1545696239046,0.0070,444929,0,27736213
1545696245023,0.0006,445121,1,27736214
1545696245073,0.0080,445242,1,27736215
1545696245123,0.0031,445251,1,27736216
1545696245173,0.0313,445252,1,27736217
1545696248947,0.0100,445252,1,27736218
1545696249077,0.0099,445251,1,27736219
1545696249107,0.0431,445252,1,27736220
1545696250947,0.0200,445284,1,27736221
1545696251073,0.0091,445284,1,27736222
1545696251099,0.0100,445284,1,27736223
1545696251124,0.0050,445290,1,27736224
1545696251149,0.0080,445325,1,27736225
1545696251173,0.0010,445409,1,27736226
1545696251197,0.0059,445455,1,27736227
1545696259938,0.0009,445505,1,27736228
1545696259968,0.0251,445555,1,27736229
1545696260997,0.0009,445505,0,27736230
1545696261035,0.0181,445455,0,27736231
1545696261165,0.0156,445455,0,27736232
1545696261189,0.0050,445455,0,27736233
1545696264059,0.0079,445331,0,27736234
1545696264086,0.0100,445300,0,27736235
1545696264113,0.0021,445300,0,27736236
1545696264214,0.0079,445300,0,27736237
1545696264237,0.0010,445205,0,27736238
1545696264262,0.0010,445143,0,27736239
1545696264285,0.0006,445121,0,27736240
1545696264309,0.0080,445060,0,27736241
1545696264333,0.0080,445055,0,27736242
1545696264358,0.0085,445050,0,27736243
1545696273932,0.0080,445086,0,27736244
1545696273961,0.0020,445081,0,27736245
1545696274100,0.0003,445227,1,27736246
1545696280720,0.0080,445325,1,27736247
1545696280766,0.0020,445370,1,27736248
1545696288782,0.0007,445241,1,27736249
1545696293819,0.0016,445373,1,27736250
1545696294008,0.0006,445373,1,27736251
1545696294701,0.0078,445373,1,27736252
1545696294730,0.0060,445451,1,27736253
1545696294757,0.0061,445461,1,27736254
1545696302799,0.0080,445451,1,27736255
1545696302852,0.0600,445461,1,27736256
1545696303815,0.0002,445303,1,27736257
1545696308777,0.0002,445303,0,27736258
1545696308833,0.0010,445176,0,27736259
1545696308885,0.0031,445165,0,27736260
1545696308937,0.0050,445164,0,27736261
1545696308989,0.0100,445154,0,27736262
1545696309041,0.0070,445138,0,27736263
1545696309092,0.0050,445054,0,27736264
1545696309145,0.0021,444992,0,27736265
1545696309848,0.0010,444992,0,27736266
1545696312765,0.0100,445184,0,27736267
1545696318783,0.0008,445343,1,27736268
1545696321879,0.0100,445199,0,27736269
1545696322082,0.0260,445199,0,27736270
1545696333715,0.0006,445271,1,27736271
1545696347641,0.0007,445256,1,27736272
1545696360705,0.0007,445256,1,27736273
1545696361636,0.0112,445303,1,27736274
1545696361666,0.0088,445313,1,27736275
1545696366676,0.0080,445209,0,27736276
1545696366729,0.0020,445200,0,27736277
1545696366962,0.0012,445313,1,27736278
1545696368634,0.0080,445326,0,27736279
1545696368659,0.0020,445326,0,27736280
1545696369845,0.0007,445326,0,27736281
1545696371699,0.0024,445200,0,27736282
1545696374702,0.0100,445200,0,27736283
1545696374921,0.0040,445200,0,27736284
1545696376758,0.0040,445199,0,27736285
1545696377635,0.0100,445199,0,27736286
1545696378695,0.0991,445199,0,27736287
1545696378746,0.0330,445198,0,27736288
1545696378797,0.0050,445194,0,27736289
1545696378849,0.0335,445067,0,27736290
1545696378900,0.0010,445048,0,27736291
1545696378950,0.0069,444992,0,27736292
1545696379000,0.0050,444992,0,27736293
1545696379050,0.0165,444827,0,27736294
1545696379276,0.0060,445200,1,27736295
1545696381708,0.0100,445343,1,27736296
1545696381760,0.0031,445456,1,27736297
1545696381812,0.0129,445467,1,27736298
1545696382656,0.0225,445403,1,27736299
1545696384822,0.0080,445217,0,27736300
1545696384875,0.0020,445213,0,27736301
1545696385100,0.0060,445213,0,27736302
1545696385642,0.0112,445403,1,27736303
1545696386625,0.0080,445217,0,27736304
1545696386766,0.0109,445213,1,27736305
1545696386794,0.0390,445384,1,27736306
1545696388632,0.0050,445213,1,27736307
1545696389690,0.0007,445213,0,27736308
1545696391682,0.0100,445213,0,27736309
1545696399978,0.0100,445213,0,27736310
1545696403811,0.0034,445213,0,27736311
1545696403876,0.0337,445213,0,27736312
1545696403937,0.0050,445213,0,27736313
1545696403988,0.0050,445213,0,27736314
1545696404041,0.0007,445206,0,27736315
1545696404092,0.0523,445200,0,27736316
1545696404142,0.0100,445200,0,27736317
1545696404193,0.0200,445000,0,27736318
1545696404243,0.0400,444952,0,27736319
1545696404296,0.0010,444901,0,27736320
1545696404346,0.0289,444841,0,27736321
1545696404556,0.0006,445248,1,27736322
1545696410851,0.0080,445284,1,27736323
1545696410902,0.0220,445284,1,27736324
1545696422748,0.0009,445074,1,27736325
1545696429950,0.0112,444906,0,27736326
1545696430000,0.0031,444902,0,27736327
1545696430051,0.0080,444901,0,27736328
1545696430102,0.0023,444901,0,27736329
1545696430314,0.0110,445238,1,27736330
1545696430364,0.1700,445248,1,27736331
1545696432772,0.0200,445057,1,27736332
1545696435766,0.0008,444975,1,27736333
1545696435791,0.0080,445012,1,27736334
1545696435818,0.0031,445056,1,27736335
1545696435844,0.0081,445057,1,27736336
1545696436810,0.0008,444975,0,27736337
1545696436870,0.0310,444935,0,27736338
1545696436923,0.0287,444901,0,27736339
1545696437755,0.0080,444949,0,27736340
1545696438814,0.0050,444842,0,27736341
1545696438879,0.0022,444822,0,27736342
1545696439094,0.0080,444832,0,27736343
1545696439143,0.0449,444822,0,27736344
1545696439352,0.0080,444929,1,27736345
1545696439409,0.0590,444939,1,27736346
1545696440177,0.0180,444938,1,27736347
1545696444824,0.0005,444928,1,27736348
1545696448752,0.0107,444928,1,27736349
1545696448779,0.0093,444929,1,27736350
1545696451753,0.0004,444875,1,27736351
1545696465050,0.0001,444879,1,27736352
1545696476551,0.0066,444937,1,27736353
1545696476601,0.0024,444937,1,27736354
1545696477583,0.0050,444822,0,27736355
1545696477632,0.0170,444750,0,27736356
1545696477682,0.0190,444742,0,27736357
1545696480564,0.0310,444742,0,27736358
1545696480615,0.0010,444653,0,27736359
1545696480665,0.0080,444643,0,27736360
1545696480717,0.0100,444636,0,27736361
1545696480768,0.0098,444633,0,27736362
1545696480820,0.0335,444588,0,27736363
1545696480872,0.0100,444583,0,27736364
1545696480923,0.0100,444583,0,27736365
1545696480977,0.0100,444575,0,27736366
1545696481041,0.0246,444575,0,27736367
1545696481102,0.0236,444573,0,27736368
1545696482531,0.0080,444746,0,27736369
1545696482584,0.0120,444573,0,27736370
1545696483457,0.0024,444573,0,27736371
1545696484544,0.0100,444636,1,27736372
1545696486504,0.0067,444573,0,27736373
1545696486563,0.0033,444573,0,27736374
1545696488515,0.0017,444573,0,27736375
1545696488566,0.0929,444526,0,27736376
1545696488616,0.0180,444490,0,27736377
1545696488667,0.0080,444489,0,27736378
1545696488718,0.0100,444488,0,27736379
1545696488767,0.2500,444487,0,27736380
1545696488818,0.0140,444487,0,27736381
1545696488875,0.1054,444486,0,27736382
1545696489090,0.0070,444626,1,27736383
1545696489140,0.0031,444626,1,27736384
1545696489347,0.0049,444626,1,27736385
1545696489397,0.0449,444636,1,27736386
1545696490504,0.0080,444496,0,27736387
1545696490558,0.0020,444488,0,27736388
1545696491577,0.0006,444562,1,27736389
1545696491642,0.0095,444636,1,27736390
1545696492537,0.0006,444562,0,27736391
1545696493461,0.0094,444562,1,27736392
1545696493489,0.0131,444635,1,27736393
1545696494468,0.0080,444498,0,27736394
1545696494495,0.0020,444496,0,27736395
1545696494614,0.0030,444496,0,27736396
1545696494639,0.0585,444488,0,27736397
1545696494663,0.0200,444487,0,27736398
1545696494688,0.4185,444486,0,27736399
1545696494808,0.0225,444635,1,27736400
1545696497516,0.0080,444519,0,27736401
1545696497568,0.0020,444509,0,27736402
1545696497820,0.0016,444625,1,27736403
1545696498520,0.0100,444487,0,27736404
1545696498574,0.4660,444486,0,27736405
1545696498627,0.0002,444440,0,27736406
1545696499645,0.0050,444439,1,27736407
1545696501572,0.0100,444439,1,27736408
1545696502463,0.0100,444370,0,27736409
1545696502605,0.0052,444370,0,27736410
1545696502727,0.2468,444370,0,27736411
1545696502756,0.0100,444370,0,27736412
1545696504457,0.0050,444370,0,27736413
1545696504648,0.0002,444300,1,27736414
1545696504688,0.0016,444439,1,27736415
1545696504727,0.0083,444439,1,27736416
1545696505456,0.0031,444235,0,27736417
1545696505482,0.0061,444234,0,27736418
1545696505518,0.0060,444234,0,27736419
1545696505551,0.0200,444109,0,27736420
1545696505708,0.0010,444058,0,27736421
1545696505746,0.0336,444048,0,27736422
1545696505874,0.0017,444439,1,27736423
1545696505897,0.0084,444439,1,27736424
1545696507464,0.0002,444255,0,27736425
1545696516452,0.0080,444255,0,27736426
1545696517556,0.0050,444255,0,27736427
1545696517610,0.0100,444255,0,27736428
1545696517676,0.0002,444243,0,27736429
1545696517736,0.0012,444014,0,27736430
1545696517787,0.0002,444000,0,27736431
1545696517838,0.0100,443964,0,27736432
1545696517888,0.1126,443947,0,27736433
1545696517937,0.0010,443943,0,27736434
1545696518004,0.0050,443895,0,27736435
1545696518056,0.0050,443895,0,27736436
1545696518107,0.0200,443846,0,27736437
1545696518159,0.0061,443827,0,27736438
1545696518209,0.0237,443821,0,27736439
1545696523793,0.0003,444189,1,27736440
1545696529728,0.0112,443958,0,27736441
1545696529754,0.0080,443953,0,27736442
