Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543028820000,486946,486962,486946,486962,0.0272,486954,0,0,1096
1543028880000,486966,486966,486553,486711,1.1991,486759,-1,-1,1096
1543028940000,486706,487313,486706,487168,1.2403,487009,0,-1,1096
1543029000000,486757,487312,486486,487312,1.0566,486899,0,0,1096
1543029060000,487139,487714,487139,487714,1.1701,487426,0,0,1096
1543029120000,487287,487780,486797,487678,0.6783,487288,0,0,1096
1543029180000,487678,487998,487510,487532,0.4187,487754,-1,-1,1096
1543029240000,487532,487532,486438,486718,1.0808,486985,-1,-2,1096
1543029300000,486448,486820,486448,486469,0.904,486634,0,-1,1096
1543029360000,486469,486875,486235,486542,0.569,486555,0,0,1096
1543029420000,486332,486682,486000,486397,0.8545,486341,0,0,1096
1543029480000,486000,486091,485652,486091,0.4401,485871,0,0,1096
1543029540000,486003,486711,485998,486479,0.4521,486354,0,0,1096
1543029600000,486790,487499,486551,486893,0.7756,487025,0,0,1096
1543029660000,487009,487420,486607,487153,0.6368,487013,0,0,1096
1543029720000,487194,487417,486482,486492,0.1236,486949,-1,-1,1096
1543029780000,486936,487493,486936,487493,0.1145,487214,0,-1,1096
1543029840000,487497,487909,487157,487554,0.2141,487533,0,0,1096
1543029900000,487880,487927,487555,487920,0.178,487741,0,0,1096
1543029960000,487887,487999,487887,487988,0.0565,487943,0,0,1096
1543030020000,487978,488796,487711,488114,0.1823,488253,0,0,1096
1543030080000,488702,488899,487734,488265,0.8502,488316,-1,-1,1096
1543030140000,488203,488203,487715,488075,0.5805,487959,-1,-2,1096
1543030200000,488116,488900,488116,488251,0.4414,488508,0,-1,1096
1543030260000,488059,488201,487500,487500,1.2598,487850,-1,-1,1096
1543030320000,487485,487500,487018,487450,1.3124,487259,-1,-2,1096
1543030380000,487460,487785,487460,487500,0.1394,487622,0,-1,1096
1543030440000,487649,487959,487000,487901,2.3829,487479,0,0,1096
1543030500000,487384,487801,487134,487400,0.147,487467,0,0,1096
1543030560000,487405,487559,487349,487549,0.0824,487454,0,0,1096
1543030620000,487538,487549,487264,487264,0.0851,487406,-1,-1,1096
1543030680000,487264,487264,487264,487264,0.0367,487264,0,-1,1096
1543030740000,487479,487479,487479,487479,0.004,487479,0,0,1096
1543030800000,487636,488000,487379,487989,0.337,487689,0,0,1096
1543030860000,487999,487999,487759,487989,1.2868,487879,-1,-1,1096
1543030920000,487801,487898,487777,487777,0.128,487837,-1,-2,1096
1543030980000,487703,488000,487471,487638,0.6368,487735,-1,-2,1096
1543031040000,487638,487803,487317,487531,0.4512,487560,-1,-2,1096
1543031100000,487503,487742,487495,487707,0.0904,487618,0,-1,1096
1543031160000,487520,487715,487493,487710,0.1084,487604,0,0,1096
1543031220000,487700,487700,487485,487485,0.5638,487592,-1,-1,1096
1543031280000,487460,487676,487454,487454,0.0233,487565,-1,-2,1096
1543031340000,487465,487622,487237,487237,0.2732,487429,-1,-2,1096
1543031400000,487237,487387,487000,487000,0.2128,487193,-1,-2,1096
1543031460000,487005,487312,486997,487001,0.1685,487154,-1,-2,1096
1543031520000,487169,487312,486997,487257,0.4945,487154,0,-1,1096
1543031580000,486997,487226,486206,486318,1.4956,486716,-1,-1,1096
