Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543546260000,485000,485710,484020,485495,6.056,484865,0,-1,-1350
1543546320000,485495,485965,484081,484442,6.6806,485023,-1,-1,-1350
1543546380000,484432,484835,484010,484275,6.9352,484422,-1,-2,-1350
1543546440000,484385,484875,484275,484860,5.0146,484575,0,-1,-1350
1543546500000,484510,485000,484500,484999,4.8011,484750,0,0,-1350
1543546560000,484998,485000,484731,484785,1.2582,484865,-1,-1,-1350
1543546620000,484701,485662,484674,485260,7.9913,485168,0,-1,-1350
1543546680000,485300,485743,485265,485687,0.2931,485504,0,0,-1350
1543546740000,485687,485728,485012,485074,0.8767,485370,-1,-1,-1350
1543546800000,485109,485605,485109,485605,3.898,485357,0,-1,-1350
1543546860000,485648,486091,485493,486091,8.5301,485792,0,0,-1350
1543546920000,486144,487710,485999,486350,10.602,486854,0,0,-1350
1543546980000,486096,486526,485168,485897,4.921,485847,-1,-1,-1350
1543547040000,485403,485897,484785,484785,2.9346,485341,-1,-2,-1350
1543547100000,484644,485160,484644,484752,0.7397,484902,0,-1,-1350
1543547160000,484644,485070,483762,483772,6.3475,484416,-1,-1,-1350
1543547220000,483810,483972,483615,483653,1.7351,483793,-1,-2,-1350
1543547280000,483800,484674,483800,484141,1.8827,484237,0,-1,-1350
1543547340000,484131,484589,483931,484584,5.5044,484260,0,0,-1350
1543547400000,484423,484590,483826,483931,3.4665,484208,-1,-1,-1350
1543547460000,483931,483941,482867,482867,6.8269,483404,-1,-2,-1350
1543547520000,482868,483060,482245,482245,4.5652,482652,-1,-2,-1350
1543547580000,482248,483431,482247,483126,3.4788,482839,0,-1,-1350
1543547640000,482958,483519,482500,482500,6.7048,483009,-1,-1,-1350
1543547700000,483384,484164,483303,483912,1.5031,483733,0,-1,-1350
1543547760000,483911,483911,483417,483417,1.3797,483664,-1,-1,-1350
1543547820000,483389,483389,482849,483302,0.3251,483119,-1,-2,-1350
1543547880000,483301,484062,482971,483793,5.0755,483516,0,-1,-1350
1543547940000,484012,484305,483956,484280,0.5049,484130,0,0,-1350
1543548000000,483966,484211,482849,482849,2.1724,483530,-1,-1,-1350
1543548060000,482850,483220,482808,483220,2.9568,483014,0,-1,-1350
1543548120000,483313,483712,483313,483634,4.0049,483512,0,0,-1350
1543548180000,483640,483640,483000,483399,0.6296,483320,-1,-1,-1350
1543548240000,483111,483500,483111,483395,1.8858,483305,0,-1,-1350
1543548300000,483395,483395,482500,482500,8.6906,482947,-1,-1,-1350
1543548360000,482430,482600,481741,482034,2.8073,482170,-1,-2,-1350
1543548420000,482034,482600,481942,482200,2.9564,482271,0,-1,-1350
1543548480000,482184,482700,482108,482700,4.8732,482404,0,0,-1350
